iter	Passed	Remaining
0	7	14942
1	13	13504
2	19	13218
3	27	13743
4	34	13626
5	40	13434
6	46	13325
7	54	13459
8	60	13435
9	65	13128
10	71	12860
11	77	12894
12	85	13003
13	90	12871
14	97	12845
15	103	12875
16	110	12833
17	116	12882
18	124	12983
19	130	12897
20	136	12824
21	143	12860
22	148	12726
23	153	12646
24	160	12659
25	166	12668
26	172	12591
27	177	12518
28	183	12492
29	191	12553
30	198	12603
31	202	12460
32	208	12439
33	215	12438
34	221	12421
35	226	12368
36	233	12368
37	240	12418
38	247	12424
39	252	12390
40	259	12395
41	265	12364
42	270	12325
43	276	12298
44	282	12279
45	289	12292
46	295	12286
47	302	12286
48	308	12286
49	314	12259
50	320	12231
51	325	12187
52	330	12144
53	335	12100
54	341	12089
55	347	12076
56	352	12026
57	358	12015
58	365	12020
59	370	11988
60	377	11987
61	382	11963
62	389	11988
63	396	11983
64	402	11987
65	409	11989
66	415	12001
67	422	11991
68	427	11956
69	433	11945
70	439	11927
71	444	11902
72	451	11915
73	456	11877
74	462	11876
75	468	11858
76	474	11846
77	480	11838
78	486	11821
79	492	11818
80	498	11801
81	503	11779
82	509	11773
83	515	11761
84	522	11766
85	528	11755
86	534	11747
87	541	11760
88	547	11751
89	553	11756
90	558	11714
91	563	11690
92	569	11680
93	575	11661
94	582	11681
95	588	11670
96	594	11664
97	597	11593
98	603	11579
99	609	11572
100	614	11561
101	620	11554
102	626	11544
103	633	11542
104	638	11527
105	644	11524
106	650	11513
107	657	11515
108	663	11504
109	669	11510
110	675	11503
111	685	11554
112	691	11554
113	697	11538
114	704	11554
115	711	11561
116	718	11558
117	724	11548
118	730	11539
119	735	11527
120	741	11522
121	748	11525
122	755	11525
123	760	11512
124	766	11500
125	772	11490
126	778	11480
127	784	11473
128	790	11458
129	796	11451
130	802	11449
131	808	11438
132	815	11447
133	821	11442
134	827	11434
135	833	11424
136	839	11420
137	845	11413
138	852	11411
139	858	11403
140	863	11383
141	870	11390
142	875	11370
143	881	11365
144	887	11352
145	892	11335
146	899	11334
147	905	11327
148	911	11324
149	917	11316
150	923	11310
151	929	11300
152	935	11297
153	941	11289
154	948	11289
155	954	11278
156	959	11265
157	965	11251
158	970	11239
159	977	11241
160	983	11232
161	989	11222
162	994	11211
163	1000	11203
164	1006	11198
165	1012	11181
166	1017	11166
167	1023	11159
168	1028	11145
169	1035	11146
170	1041	11142
171	1047	11133
172	1053	11130
173	1060	11132
174	1063	11092
175	1069	11086
176	1076	11084
177	1082	11078
178	1088	11072
179	1095	11071
180	1100	11064
181	1107	11058
182	1109	11020
183	1115	11014
184	1121	11005
185	1128	11001
186	1135	11012
187	1142	11010
188	1148	11004
189	1154	10994
190	1160	10989
191	1163	10956
192	1169	10947
193	1175	10939
194	1181	10937
195	1187	10929
196	1193	10923
197	1199	10916
198	1206	10917
199	1211	10906
200	1218	10902
201	1223	10890
202	1229	10882
203	1235	10879
204	1240	10860
205	1245	10845
206	1252	10846
207	1258	10842
208	1264	10837
209	1270	10830
210	1277	10829
211	1283	10826
212	1289	10820
213	1296	10817
214	1302	10817
215	1308	10808
216	1314	10797
217	1319	10787
218	1325	10782
219	1332	10777
220	1337	10769
221	1344	10769
222	1350	10760
223	1354	10741
224	1360	10735
225	1366	10729
226	1370	10705
227	1377	10706
228	1384	10704
229	1390	10699
230	1396	10696
231	1402	10689
232	1409	10685
233	1415	10680
234	1421	10676
235	1427	10669
236	1434	10668
237	1440	10661
238	1445	10653
239	1451	10647
240	1457	10638
241	1463	10631
242	1469	10624
243	1472	10594
244	1478	10588
245	1484	10583
246	1490	10579
247	1497	10582
248	1503	10575
249	1509	10569
250	1515	10560
251	1521	10555
252	1527	10546
253	1532	10536
254	1539	10535
255	1544	10523
256	1550	10517
257	1557	10515
258	1563	10507
259	1569	10504
260	1571	10469
261	1577	10466
262	1584	10465
263	1590	10461
264	1597	10460
265	1604	10459
266	1611	10457
267	1617	10452
268	1623	10447
269	1629	10438
270	1634	10429
271	1641	10428
272	1646	10412
273	1652	10409
274	1655	10385
275	1661	10379
276	1668	10376
277	1674	10371
278	1680	10367
279	1686	10361
280	1692	10354
281	1698	10349
282	1704	10342
283	1710	10335
284	1715	10325
285	1721	10314
286	1727	10311
287	1733	10302
288	1738	10294
289	1743	10278
290	1748	10271
291	1755	10266
292	1761	10261
293	1767	10254
294	1773	10249
295	1779	10244
296	1785	10238
297	1790	10227
298	1796	10221
299	1802	10214
300	1808	10209
301	1815	10205
302	1821	10202
303	1827	10196
304	1833	10189
305	1839	10185
306	1846	10182
307	1852	10176
308	1858	10172
309	1865	10171
310	1872	10171
311	1880	10171
312	1887	10173
313	1894	10173
314	1900	10168
315	1906	10161
316	1913	10160
317	1919	10154
318	1925	10149
319	1932	10147
320	1938	10138
321	1945	10136
322	1951	10133
323	1957	10125
324	1963	10120
